2024-04-14 09:17:03,562 INFO    MainThread:9804 [wandb_setup.py:_flush():76] Current SDK version is 0.16.6
2024-04-14 09:17:03,563 INFO    MainThread:9804 [wandb_setup.py:_flush():76] Configure stats pid to 9804
2024-04-14 09:17:03,563 INFO    MainThread:9804 [wandb_setup.py:_flush():76] Loading settings from /home/kmlee/.config/wandb/settings
2024-04-14 09:17:03,563 INFO    MainThread:9804 [wandb_setup.py:_flush():76] Loading settings from /home/kmlee/students/LLM/wandb/settings
2024-04-14 09:17:03,563 INFO    MainThread:9804 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-04-14 09:17:03,563 INFO    MainThread:9804 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-04-14 09:17:03,563 INFO    MainThread:9804 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2024-04-14 09:17:03,563 INFO    MainThread:9804 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-04-14 09:17:03,563 INFO    MainThread:9804 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2024-04-14 09:17:03,563 INFO    MainThread:9804 [wandb_init.py:_log_setup():521] Logging user logs to /home/kmlee/students/LLM/wandb/run-20240414_091703-uo6wyuet/logs/debug.log
2024-04-14 09:17:03,563 INFO    MainThread:9804 [wandb_init.py:_log_setup():522] Logging internal logs to /home/kmlee/students/LLM/wandb/run-20240414_091703-uo6wyuet/logs/debug-internal.log
2024-04-14 09:17:03,564 INFO    MainThread:9804 [wandb_init.py:_jupyter_setup():467] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x7fdab9059930>
2024-04-14 09:17:03,564 INFO    MainThread:9804 [wandb_init.py:init():561] calling init triggers
2024-04-14 09:17:03,564 INFO    MainThread:9804 [wandb_init.py:init():568] wandb.init called with sweep_config: {}
config: {}
2024-04-14 09:17:03,564 INFO    MainThread:9804 [wandb_init.py:init():611] starting backend
2024-04-14 09:17:03,564 INFO    MainThread:9804 [wandb_init.py:init():615] setting up manager
